"","x"
"1","GO_REGULATION_OF_DOPAMINE_METABOLIC_PROCESS"
"2","GO_LACTATE_TRANSPORT"
"3","GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION"
"4","GO_DETECTION_OF_LIGHT_STIMULUS_INVOLVED_IN_VISUAL_PERCEPTION"
"5","GO_CARDIAC_CHAMBER_DEVELOPMENT"
"6","GO_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL"
"7","GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY"
"8","GO_TRNA_AMINOACYLATION"
"9","GO_CIRCADIAN_RHYTHM"
"10","GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING"
"11","GO_SPINAL_CORD_DEVELOPMENT"
"12","GO_REGULATION_OF_GENE_SILENCING_BY_RNA"
"13","GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY"
"14","GO_GLUCURONATE_METABOLIC_PROCESS"
"15","GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS"
"16","GO_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY"
"17","GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION"
"18","GO_CEREBRAL_CORTEX_RADIAL_GLIA_GUIDED_MIGRATION"
"19","GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY"
"20","GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS"
"21","GO_POTASSIUM_ION_TRANSPORT"
"22","GO_L_PHENYLALANINE_METABOLIC_PROCESS"
"23","GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY"
"24","GO_CARDIAC_MUSCLE_ADAPTATION"
"25","GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION"
"26","GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION"
"27","GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION"
"28","GO_APICAL_PROTEIN_LOCALIZATION"
"29","GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY"
"30","GO_FOREBRAIN_NEURON_DEVELOPMENT"
"31","GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION"
"32","GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT"
"33","GO_MITOTIC_CYTOKINESIS"
"34","GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS"
"35","GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION"
"36","GO_CYTOPLASMIC_TRANSLATION"
"37","GO_MEIOTIC_CHROMOSOME_SEGREGATION"
"38","GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT"
"39","GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR"
"40","GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS"
"41","GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY"
"42","GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY"
"43","GO_DENDRITE_DEVELOPMENT"
"44","GO_REGULATION_OF_RESPIRATORY_BURST"
"45","GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION"
"46","GO_MEMORY"
"47","GO_NEURON_DEVELOPMENT"
"48","GO_REGULATION_OF_GOLGI_ORGANIZATION"
"49","GO_ENDOTHELIAL_CELL_DEVELOPMENT"
"50","GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION"
"51","GO_REGULATION_OF_CELL_ACTIVATION"
"52","GO_MULTICELLULAR_ORGANISM_AGING"
"53","GO_ATP_DEPENDENT_CHROMATIN_REMODELING"
"54","GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS"
"55","GO_ION_TRANSPORT"
"56","GO_LIPID_MODIFICATION"
"57","GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT"
"58","GO_REGULATION_OF_HEPATOCYTE_PROLIFERATION"
"59","GO_ACYLGLYCEROL_HOMEOSTASIS"
