"","x"
"1","KEGG-GLYCOLYSIS-GLUCONEOGENESIS"
"2","KEGG-CITRATE-CYCLE-TCA-CYCLE"
"3","KEGG-PENTOSE-PHOSPHATE-PATHWAY"
"4","KEGG-PENTOSE-AND-GLUCURONATE-INTERCONVERSIONS"
"5","KEGG-FRUCTOSE-AND-MANNOSE-METABOLISM"
"6","KEGG-GALACTOSE-METABOLISM"
"7","KEGG-ASCORBATE-AND-ALDARATE-METABOLISM"
"8","KEGG-FATTY-ACID-METABOLISM"
"9","KEGG-STEROID-BIOSYNTHESIS"
"10","KEGG-PRIMARY-BILE-ACID-BIOSYNTHESIS"
"11","KEGG-STEROID-HORMONE-BIOSYNTHESIS"
"12","KEGG-OXIDATIVE-PHOSPHORYLATION"
"13","KEGG-PURINE-METABOLISM"
"14","KEGG-PYRIMIDINE-METABOLISM"
"15","KEGG-ALANINE-ASPARTATE-AND-GLUTAMATE-METABOLISM"
"16","KEGG-GLYCINE-SERINE-AND-THREONINE-METABOLISM"
"17","KEGG-CYSTEINE-AND-METHIONINE-METABOLISM"
"18","KEGG-VALINE-LEUCINE-AND-ISOLEUCINE-DEGRADATION"
"19","KEGG-VALINE-LEUCINE-AND-ISOLEUCINE-BIOSYNTHESIS"
"20","KEGG-LYSINE-DEGRADATION"
"21","KEGG-ARGININE-AND-PROLINE-METABOLISM"
"22","KEGG-HISTIDINE-METABOLISM"
"23","KEGG-TYROSINE-METABOLISM"
"24","KEGG-PHENYLALANINE-METABOLISM"
"25","KEGG-TRYPTOPHAN-METABOLISM"
"26","KEGG-BETA-ALANINE-METABOLISM"
"27","KEGG-TAURINE-AND-HYPOTAURINE-METABOLISM"
"28","KEGG-SELENOAMINO-ACID-METABOLISM"
"29","KEGG-GLUTATHIONE-METABOLISM"
"30","KEGG-STARCH-AND-SUCROSE-METABOLISM"
"31","KEGG-N-GLYCAN-BIOSYNTHESIS"
"32","KEGG-OTHER-GLYCAN-DEGRADATION"
"33","KEGG-O-GLYCAN-BIOSYNTHESIS"
"34","KEGG-AMINO-SUGAR-AND-NUCLEOTIDE-SUGAR-METABOLISM"
"35","KEGG-GLYCOSAMINOGLYCAN-DEGRADATION"
"36","KEGG-GLYCOSAMINOGLYCAN-BIOSYNTHESIS-CHONDROITIN-SULFATE"
"37","KEGG-GLYCOSAMINOGLYCAN-BIOSYNTHESIS-KERATAN-SULFATE"
"38","KEGG-GLYCOSAMINOGLYCAN-BIOSYNTHESIS-HEPARAN-SULFATE"
"39","KEGG-GLYCEROLIPID-METABOLISM"
"40","KEGG-INOSITOL-PHOSPHATE-METABOLISM"
"41","KEGG-GLYCOSYLPHOSPHATIDYLINOSITOL-GPI-ANCHOR-BIOSYNTHESIS"
"42","KEGG-GLYCEROPHOSPHOLIPID-METABOLISM"
"43","KEGG-ETHER-LIPID-METABOLISM"
"44","KEGG-ARACHIDONIC-ACID-METABOLISM"
"45","KEGG-LINOLEIC-ACID-METABOLISM"
"46","KEGG-ALPHA-LINOLENIC-ACID-METABOLISM"
"47","KEGG-SPHINGOLIPID-METABOLISM"
"48","KEGG-GLYCOSPHINGOLIPID-BIOSYNTHESIS-LACTO-AND-NEOLACTO-SERIES"
"49","KEGG-GLYCOSPHINGOLIPID-BIOSYNTHESIS-GLOBO-SERIES"
"50","KEGG-GLYCOSPHINGOLIPID-BIOSYNTHESIS-GANGLIO-SERIES"
"51","KEGG-PYRUVATE-METABOLISM"
"52","KEGG-GLYOXYLATE-AND-DICARBOXYLATE-METABOLISM"
"53","KEGG-PROPANOATE-METABOLISM"
"54","KEGG-BUTANOATE-METABOLISM"
"55","KEGG-ONE-CARBON-POOL-BY-FOLATE"
"56","KEGG-RIBOFLAVIN-METABOLISM"
"57","KEGG-NICOTINATE-AND-NICOTINAMIDE-METABOLISM"
"58","KEGG-PANTOTHENATE-AND-COA-BIOSYNTHESIS"
"59","KEGG-FOLATE-BIOSYNTHESIS"
"60","KEGG-RETINOL-METABOLISM"
"61","KEGG-PORPHYRIN-AND-CHLOROPHYLL-METABOLISM"
"62","KEGG-TERPENOID-BACKBONE-BIOSYNTHESIS"
"63","KEGG-LIMONENE-AND-PINENE-DEGRADATION"
"64","KEGG-NITROGEN-METABOLISM"
"65","KEGG-SULFUR-METABOLISM"
"66","KEGG-AMINOACYL-TRNA-BIOSYNTHESIS"
"67","KEGG-METABOLISM-OF-XENOBIOTICS-BY-CYTOCHROME-P450"
"68","KEGG-DRUG-METABOLISM-CYTOCHROME-P450"
"69","KEGG-DRUG-METABOLISM-OTHER-ENZYMES"
"70","KEGG-BIOSYNTHESIS-OF-UNSATURATED-FATTY-ACIDS"
"71","KEGG-ABC-TRANSPORTERS"
"72","KEGG-RIBOSOME"
"73","KEGG-RNA-DEGRADATION"
"74","KEGG-RNA-POLYMERASE"
"75","KEGG-BASAL-TRANSCRIPTION-FACTORS"
"76","KEGG-DNA-REPLICATION"
"77","KEGG-SPLICEOSOME"
"78","KEGG-PROTEASOME"
"79","KEGG-PROTEIN-EXPORT"
"80","KEGG-PPAR-SIGNALING-PATHWAY"
"81","KEGG-BASE-EXCISION-REPAIR"
"82","KEGG-NUCLEOTIDE-EXCISION-REPAIR"
"83","KEGG-MISMATCH-REPAIR"
"84","KEGG-HOMOLOGOUS-RECOMBINATION"
"85","KEGG-NON-HOMOLOGOUS-END-JOINING"
"86","KEGG-MAPK-SIGNALING-PATHWAY"
"87","KEGG-ERBB-SIGNALING-PATHWAY"
"88","KEGG-CALCIUM-SIGNALING-PATHWAY"
"89","KEGG-CYTOKINE-CYTOKINE-RECEPTOR-INTERACTION"
"90","KEGG-CHEMOKINE-SIGNALING-PATHWAY"
"91","KEGG-PHOSPHATIDYLINOSITOL-SIGNALING-SYSTEM"
"92","KEGG-NEUROACTIVE-LIGAND-RECEPTOR-INTERACTION"
"93","KEGG-CELL-CYCLE"
"94","KEGG-OOCYTE-MEIOSIS"
"95","KEGG-P53-SIGNALING-PATHWAY"
"96","KEGG-UBIQUITIN-MEDIATED-PROTEOLYSIS"
"97","KEGG-SNARE-INTERACTIONS-IN-VESICULAR-TRANSPORT"
"98","KEGG-REGULATION-OF-AUTOPHAGY"
"99","KEGG-LYSOSOME"
"100","KEGG-ENDOCYTOSIS"
"101","KEGG-PEROXISOME"
"102","KEGG-MTOR-SIGNALING-PATHWAY"
"103","KEGG-APOPTOSIS"
"104","KEGG-CARDIAC-MUSCLE-CONTRACTION"
"105","KEGG-VASCULAR-SMOOTH-MUSCLE-CONTRACTION"
"106","KEGG-WNT-SIGNALING-PATHWAY"
"107","KEGG-DORSO-VENTRAL-AXIS-FORMATION"
"108","KEGG-NOTCH-SIGNALING-PATHWAY"
"109","KEGG-HEDGEHOG-SIGNALING-PATHWAY"
"110","KEGG-TGF-BETA-SIGNALING-PATHWAY"
"111","KEGG-AXON-GUIDANCE"
"112","KEGG-VEGF-SIGNALING-PATHWAY"
"113","KEGG-FOCAL-ADHESION"
"114","KEGG-ECM-RECEPTOR-INTERACTION"
"115","KEGG-CELL-ADHESION-MOLECULES-CAMS"
"116","KEGG-ADHERENS-JUNCTION"
"117","KEGG-TIGHT-JUNCTION"
"118","KEGG-GAP-JUNCTION"
"119","KEGG-COMPLEMENT-AND-COAGULATION-CASCADES"
"120","KEGG-ANTIGEN-PROCESSING-AND-PRESENTATION"
"121","KEGG-RENIN-ANGIOTENSIN-SYSTEM"
"122","KEGG-TOLL-LIKE-RECEPTOR-SIGNALING-PATHWAY"
"123","KEGG-NOD-LIKE-RECEPTOR-SIGNALING-PATHWAY"
"124","KEGG-RIG-I-LIKE-RECEPTOR-SIGNALING-PATHWAY"
"125","KEGG-CYTOSOLIC-DNA-SENSING-PATHWAY"
"126","KEGG-JAK-STAT-SIGNALING-PATHWAY"
"127","KEGG-HEMATOPOIETIC-CELL-LINEAGE"
"128","KEGG-NATURAL-KILLER-CELL-MEDIATED-CYTOTOXICITY"
"129","KEGG-T-CELL-RECEPTOR-SIGNALING-PATHWAY"
"130","KEGG-B-CELL-RECEPTOR-SIGNALING-PATHWAY"
"131","KEGG-FC-EPSILON-RI-SIGNALING-PATHWAY"
"132","KEGG-FC-GAMMA-R-MEDIATED-PHAGOCYTOSIS"
"133","KEGG-LEUKOCYTE-TRANSENDOTHELIAL-MIGRATION"
"134","KEGG-INTESTINAL-IMMUNE-NETWORK-FOR-IGA-PRODUCTION"
"135","KEGG-CIRCADIAN-RHYTHM-MAMMAL"
"136","KEGG-LONG-TERM-POTENTIATION"
"137","KEGG-NEUROTROPHIN-SIGNALING-PATHWAY"
"138","KEGG-LONG-TERM-DEPRESSION"
"139","KEGG-OLFACTORY-TRANSDUCTION"
"140","KEGG-TASTE-TRANSDUCTION"
"141","KEGG-REGULATION-OF-ACTIN-CYTOSKELETON"
"142","KEGG-INSULIN-SIGNALING-PATHWAY"
"143","KEGG-GNRH-SIGNALING-PATHWAY"
"144","KEGG-PROGESTERONE-MEDIATED-OOCYTE-MATURATION"
"145","KEGG-MELANOGENESIS"
"146","KEGG-ADIPOCYTOKINE-SIGNALING-PATHWAY"
"147","KEGG-TYPE-II-DIABETES-MELLITUS"
"148","KEGG-TYPE-I-DIABETES-MELLITUS"
"149","KEGG-MATURITY-ONSET-DIABETES-OF-THE-YOUNG"
"150","KEGG-ALDOSTERONE-REGULATED-SODIUM-REABSORPTION"
"151","KEGG-VASOPRESSIN-REGULATED-WATER-REABSORPTION"
"152","KEGG-PROXIMAL-TUBULE-BICARBONATE-RECLAMATION"
